# OrderP Phi
-70.000000 -inf
-67.550000 -inf
-65.100000 -inf
-62.650000 -inf
-60.200000 -inf
-57.750000 -inf
-55.300000 -inf
-52.850000 -inf
-50.400000 -inf
-47.950000 -inf
-45.500000 -inf
-43.050000 -inf
-40.600000 -inf
-38.150000 -inf
-35.700000 -205.424426
-33.250000 -inf
-30.800000 -200.102210
-28.350000 -197.579917
-25.900000 -193.245318
-23.450000 -189.717720
-21.000000 -186.625423
-18.550000 -183.810375
-16.100000 -179.846211
-13.650000 -177.087401
-11.200000 -173.504810
-8.750000 -170.432788
-6.300000 -167.229235
-3.850000 -163.980480
-1.400000 -160.561472
1.050000 -157.742515
3.500000 -154.502398
5.950000 -151.456947
8.400000 -148.474104
10.850000 -145.433189
13.300000 -142.297241
15.750000 -139.566656
18.200000 -136.566359
20.650000 -133.563154
23.100000 -130.667485
25.550000 -128.026225
28.000000 -125.228747
30.450000 -122.431929
32.900000 -119.829558
35.350000 -117.246818
37.800000 -114.797217
40.250000 -112.326006
42.700000 -109.775025
45.150000 -107.341628
47.600000 -104.914613
50.050000 -102.682378
52.500000 -100.211301
54.950000 -97.783789
57.400000 -95.643825
59.850000 -93.280285
62.300000 -91.234390
64.750000 -89.090336
67.200000 -86.948418
69.650000 -84.885137
72.100000 -82.891236
74.550000 -80.986740
77.000000 -79.023977
79.450000 -77.086383
81.900000 -75.104515
84.350000 -73.140929
86.800000 -71.185979
89.250000 -69.455845
91.700000 -67.466159
94.150000 -65.497091
96.600000 -63.944551
99.050000 -62.105337
101.500000 -60.531945
103.950000 -58.774478
106.400000 -57.215851
108.850000 -55.609658
111.300000 -53.912223
113.750000 -52.433014
116.200000 -50.957424
118.650000 -49.451025
121.100000 -47.945050
123.550000 -46.445501
126.000000 -45.054371
128.450000 -43.659815
130.900000 -42.303314
133.350000 -40.867736
135.800000 -39.567379
138.250000 -38.045377
140.700000 -36.811495
143.150000 -35.537690
145.600000 -34.301170
148.050000 -33.039347
150.500000 -31.813943
152.950000 -30.664877
155.400000 -29.482811
157.850000 -28.356673
160.300000 -27.248216
162.750000 -26.134938
165.200000 -24.948947
167.650000 -23.935759
170.100000 -22.927042
172.550000 -21.991431
175.000000 -20.983268
177.450000 -19.953666
179.900000 -18.950515
182.350000 -18.106753
184.800000 -17.100684
187.250000 -16.112946
189.700000 -15.251164
192.150000 -14.367481
194.600000 -13.557935
197.050000 -12.701421
199.500000 -12.044287
201.950000 -11.314620
204.400000 -10.653219
206.850000 -9.969733
209.300000 -9.436519
211.750000 -8.679286
214.200000 -8.064306
216.650000 -7.528425
219.100000 -7.049196
221.550000 -6.416436
224.000000 -6.159983
226.450000 -5.528453
228.900000 -5.099440
231.350000 -4.495771
233.800000 -3.962004
236.250000 -3.684629
238.700000 -3.113243
241.150000 -2.661919
243.600000 -2.406542
246.050000 -2.007154
248.500000 -1.698731
250.950000 -1.255984
253.400000 -1.024249
255.850000 -0.750236
258.300000 -0.633910
260.750000 -0.497765
263.200000 -0.413193
265.650000 -0.227150
268.100000 -0.204046
270.550000 -0.153268
273.000000 -0.098004
275.450000 -0.100567
277.900000 -0.032094
280.350000 -0.055202
282.800000 0.000000
285.250000 -0.147440
287.700000 -0.120169
290.150000 -0.136657
292.600000 -0.270000
295.050000 -0.377651
297.500000 -0.413294
299.950000 -0.590220
302.400000 -0.844983
304.850000 -1.019877
307.300000 -1.345054
309.750000 -1.621811
312.200000 -1.885514
314.650000 -2.316363
317.100000 -2.751119
319.550000 -3.219082
322.000000 -3.699363
324.450000 -4.084055
326.900000 -4.702219
329.350000 -5.062603
331.800000 -5.527306
334.250000 -6.131791
336.700000 -6.695376
339.150000 -7.017058
341.600000 -7.743224
344.050000 -8.163105
346.500000 -8.727786
348.950000 -9.494572
351.400000 -10.063573
353.850000 -10.811442
356.300000 -11.313674
358.750000 -12.140518
361.200000 -12.751796
363.650000 -13.367094
366.100000 -14.066380
368.550000 -15.134992
371.000000 -15.779959
373.450000 -16.828336
375.900000 -17.371740
378.350000 -19.080210
380.800000 -19.302285
383.250000 -20.444396
385.700000 -inf
388.150000 -inf
390.600000 -inf
393.050000 -inf
395.500000 -inf
397.950000 -inf
400.400000 -inf
402.850000 -inf
405.300000 -inf
407.750000 -inf
410.200000 -inf
412.650000 -inf
415.100000 -inf
417.550000 -inf
