# OrderP Phi
-70.000000 -inf
-67.500000 -inf
-65.000000 -inf
-62.500000 -inf
-60.000000 -inf
-57.500000 -inf
-55.000000 -inf
-52.500000 -inf
-50.000000 -inf
-47.500000 -18.041081
-45.000000 -inf
-42.500000 -16.839345
-40.000000 -14.867159
-37.500000 -13.382575
-35.000000 -13.084376
-32.500000 -11.894720
-30.000000 -10.963229
-27.500000 -10.029167
-25.000000 -9.115684
-22.500000 -8.450361
-20.000000 -7.387588
-17.500000 -6.811673
-15.000000 -6.187949
-12.500000 -5.498169
-10.000000 -4.816408
-7.500000 -4.122276
-5.000000 -3.801583
-2.500000 -3.252791
0.000000 -2.704410
2.500000 -2.302218
5.000000 -1.879783
7.500000 -1.582328
10.000000 -1.180947
12.500000 -0.930806
15.000000 -0.574827
17.500000 -0.449087
20.000000 -0.356327
22.500000 -0.188470
25.000000 -0.200146
27.500000 -0.090495
30.000000 -0.121389
32.500000 0.000000
35.000000 -0.099249
37.500000 -0.233695
40.000000 -0.412047
42.500000 -0.568366
45.000000 -0.676563
47.500000 -0.832260
50.000000 -1.068837
52.500000 -1.375513
55.000000 -1.635124
57.500000 -2.008349
60.000000 -2.423575
62.500000 -2.707804
65.000000 -3.300544
67.500000 -3.701881
70.000000 -4.184511
72.500000 -4.625383
75.000000 -5.284542
77.500000 -5.780546
80.000000 -6.401882
82.500000 -7.170361
85.000000 -7.664621
87.500000 -8.265944
90.000000 -8.905661
92.500000 -9.618459
95.000000 -10.426221
97.500000 -11.186222
100.000000 -11.952222
102.500000 -12.844556
105.000000 -13.748243
107.500000 -14.491611
110.000000 -15.338934
112.500000 -16.302180
115.000000 -17.183398
117.500000 -18.042538
120.000000 -19.153491
122.500000 -20.098825
125.000000 -21.095419
127.500000 -22.117307
130.000000 -23.233693
132.500000 -24.226021
135.000000 -25.303702
137.500000 -26.413207
140.000000 -27.470627
142.500000 -28.744333
145.000000 -29.934557
147.500000 -31.184991
150.000000 -32.432298
152.500000 -33.669071
155.000000 -34.949120
157.500000 -36.330609
160.000000 -37.600988
162.500000 -38.906383
165.000000 -40.282470
167.500000 -41.613407
170.000000 -42.930131
172.500000 -44.644344
175.000000 -45.979769
177.500000 -47.451315
180.000000 -48.931983
182.500000 -50.454979
185.000000 -52.092582
187.500000 -53.526858
190.000000 -55.189270
192.500000 -56.666595
195.000000 -58.214302
197.500000 -60.219638
200.000000 -61.782937
202.500000 -63.383561
205.000000 -65.009036
207.500000 -66.797494
210.000000 -68.600880
212.500000 -70.593761
215.000000 -72.091705
217.500000 -73.964085
220.000000 -75.788033
222.500000 -77.619755
225.000000 -79.612519
227.500000 -81.417396
230.000000 -83.433514
232.500000 -85.285987
235.000000 -87.425802
237.500000 -89.317043
240.000000 -91.402477
242.500000 -93.303385
245.000000 -95.524632
247.500000 -97.553813
250.000000 -99.736897
252.500000 -101.806873
255.000000 -103.742937
257.500000 -106.148628
260.000000 -108.259251
262.500000 -110.575111
265.000000 -112.784598
267.500000 -114.955780
270.000000 -117.425696
272.500000 -119.871430
275.000000 -121.718108
277.500000 -124.352603
280.000000 -126.487359
282.500000 -128.988044
285.000000 -131.253526
287.500000 -133.789971
290.000000 -136.162725
292.500000 -138.623460
295.000000 -141.219391
297.500000 -143.703911
300.000000 -146.173407
302.500000 -148.769171
305.000000 -151.179764
307.500000 -154.115040
310.000000 -156.418060
312.500000 -159.386507
315.000000 -162.047584
317.500000 -164.500628
320.000000 -167.434730
322.500000 -170.024695
325.000000 -172.730429
327.500000 -175.378842
330.000000 -178.319905
332.500000 -181.204153
335.000000 -183.984303
337.500000 -186.949299
340.000000 -189.711400
342.500000 -192.702319
345.000000 -195.666207
347.500000 -198.543225
350.000000 -201.556126
352.500000 -204.625562
355.000000 -207.671868
357.500000 -210.719818
360.000000 -213.767348
362.500000 -216.822618
365.000000 -219.985814
367.500000 -222.922627
370.000000 -226.167422
372.500000 -229.272667
375.000000 -232.607945
377.500000 -235.722667
380.000000 -239.269142
382.500000 -242.569956
385.000000 -245.580900
387.500000 -248.965441
390.000000 -252.489437
392.500000 -256.014334
395.000000 -259.565098
397.500000 -262.778041
400.000000 -266.266672
402.500000 -269.029291
405.000000 -inf
407.500000 -275.823304
410.000000 -inf
412.500000 -inf
415.000000 -inf
417.500000 -inf
420.000000 -inf
422.500000 -inf
425.000000 -inf
427.500000 -inf
