# OrderP Phi
-100.000000 -inf
-97.200000 -inf
-94.400000 -inf
-91.600000 -inf
-88.800000 -inf
-86.000000 -inf
-83.200000 -inf
-80.400000 -inf
-77.600000 -inf
-74.800000 -inf
-72.000000 -inf
-69.200000 -18.217307
-66.400000 -18.099716
-63.600000 -15.810050
-60.800000 -15.660788
-58.000000 -13.953425
-55.200000 -13.012867
-52.400000 -11.822714
-49.600000 -11.131485
-46.800000 -9.929836
-44.000000 -9.250214
-41.200000 -8.386430
-38.400000 -7.698660
-35.600000 -6.738314
-32.800000 -6.052424
-30.000000 -5.377656
-27.200000 -4.824715
-24.400000 -4.145922
-21.600000 -3.636339
-18.800000 -3.048332
-16.000000 -2.615555
-13.200000 -2.162861
-10.400000 -1.728746
-7.600000 -1.553710
-4.800000 -1.021526
-2.000000 -0.910610
0.800000 -0.582679
3.600000 -0.382246
6.400000 -0.285121
9.200000 -0.136678
12.000000 -0.088470
14.800000 -0.247191
17.600000 -0.067412
20.400000 0.000000
23.200000 -0.092789
26.000000 -0.326017
28.800000 -0.470151
31.600000 -0.612281
34.400000 -1.044099
37.200000 -1.254862
40.000000 -1.363855
42.800000 -1.710935
45.600000 -2.187983
48.400000 -2.509864
51.200000 -2.925956
54.000000 -3.341739
56.800000 -3.858437
59.600000 -4.455308
62.400000 -5.019002
65.200000 -5.530654
68.000000 -6.199848
70.800000 -6.750746
73.600000 -7.515771
76.400000 -8.126798
79.200000 -8.870832
82.000000 -9.691403
84.800000 -10.497627
87.600000 -11.246095
90.400000 -12.078801
93.200000 -12.987130
96.000000 -14.026646
98.800000 -14.911192
101.600000 -15.752165
104.400000 -16.846244
107.200000 -17.868905
110.000000 -18.776850
112.800000 -19.904169
115.600000 -21.089791
118.400000 -22.138581
121.200000 -23.093244
124.000000 -24.238823
126.800000 -25.499138
129.600000 -26.714374
132.400000 -27.939424
135.200000 -29.329652
138.000000 -30.583545
140.800000 -31.842666
143.600000 -33.062567
146.400000 -34.445455
149.200000 -35.922533
152.000000 -37.315164
154.800000 -38.617245
157.600000 -40.134480
160.400000 -41.678217
163.200000 -43.230804
166.000000 -44.665792
168.800000 -46.122561
171.600000 -47.785759
174.400000 -49.404958
177.200000 -51.077152
180.000000 -52.593860
182.800000 -54.376821
185.600000 -56.112317
188.400000 -57.816929
191.200000 -59.656742
194.000000 -61.387779
196.800000 -63.117735
199.600000 -65.019595
202.400000 -66.769711
205.200000 -68.725442
208.000000 -70.557446
210.800000 -72.638353
213.600000 -74.723235
216.400000 -76.668053
219.200000 -78.612253
222.000000 -80.767216
224.800000 -82.833632
227.600000 -84.827637
230.400000 -86.827945
233.200000 -88.977289
236.000000 -91.209307
238.800000 -93.475913
241.600000 -95.487737
244.400000 -97.675732
247.200000 -100.144473
250.000000 -102.296751
252.800000 -104.549685
255.600000 -106.922831
258.400000 -109.233754
261.200000 -111.663893
264.000000 -114.045533
266.800000 -116.447850
269.600000 -118.902565
272.400000 -121.435696
275.200000 -123.848664
278.000000 -126.354748
280.800000 -129.024773
283.600000 -131.472144
286.400000 -134.299868
289.200000 -136.883460
292.000000 -139.519832
294.800000 -142.135174
297.600000 -144.815433
300.400000 -147.410858
303.200000 -150.359973
306.000000 -153.057096
308.800000 -155.878468
311.600000 -158.538416
314.400000 -161.520002
317.200000 -164.533524
320.000000 -167.289161
322.800000 -170.396619
325.600000 -173.279354
328.400000 -175.968842
331.200000 -179.338280
334.000000 -182.146705
336.800000 -185.207747
339.600000 -188.146760
342.400000 -191.390817
345.200000 -194.483729
348.000000 -197.456505
350.800000 -200.817704
353.600000 -204.098622
356.400000 -207.116250
359.200000 -210.418549
362.000000 -213.690191
364.800000 -216.917870
367.600000 -220.293583
370.400000 -223.626596
373.200000 -227.196681
376.000000 -230.494256
378.800000 -233.892810
381.600000 -237.386123
384.400000 -240.654303
387.200000 -244.231450
390.000000 -247.775163
392.800000 -251.432783
395.600000 -254.889958
398.400000 -258.487956
401.200000 -262.481553
404.000000 -265.874375
406.800000 -269.572128
409.600000 -273.254277
412.400000 -277.154554
415.200000 -280.878405
418.000000 -286.046975
420.800000 -289.138998
423.600000 -293.327950
426.400000 -294.954549
429.200000 -299.174598
432.000000 -inf
434.800000 -inf
437.600000 -inf
440.400000 -inf
443.200000 -inf
446.000000 -inf
448.800000 -inf
451.600000 -inf
454.400000 -inf
457.200000 -inf
