# OrderP Phi
-100.000000 -inf
-97.200000 -inf
-94.400000 -inf
-91.600000 -inf
-88.800000 -inf
-86.000000 -inf
-83.200000 -inf
-80.400000 -inf
-77.600000 -inf
-74.800000 -inf
-72.000000 -inf
-69.200000 -239.983106
-66.400000 -235.985882
-63.600000 -231.653339
-60.800000 -229.065842
-58.000000 -224.019497
-55.200000 -220.368292
-52.400000 -216.490031
-49.600000 -212.866679
-46.800000 -208.843353
-44.000000 -205.496670
-41.200000 -201.813627
-38.400000 -198.342740
-35.600000 -194.556291
-32.800000 -191.109409
-30.000000 -187.589855
-27.200000 -184.271969
-24.400000 -180.816923
-21.600000 -177.549332
-18.800000 -174.118886
-16.000000 -170.899399
-13.200000 -167.685442
-10.400000 -164.450749
-7.600000 -161.508822
-4.800000 -158.187699
-2.000000 -155.202159
0.800000 -152.055590
3.600000 -149.188120
6.400000 -146.207285
9.200000 -143.286433
12.000000 -140.434127
14.800000 -137.793319
17.600000 -134.843013
20.400000 -131.957790
23.200000 -129.320446
26.000000 -126.675121
28.800000 -124.095918
31.600000 -121.491392
34.400000 -119.124480
37.200000 -116.450909
40.000000 -113.849846
42.800000 -111.370749
45.600000 -109.035726
48.400000 -106.579177
51.200000 -104.232363
54.000000 -101.960994
56.800000 -99.498503
59.600000 -97.334627
62.400000 -95.140239
65.200000 -92.784616
68.000000 -90.787951
70.800000 -88.457818
73.600000 -86.486949
76.400000 -84.250754
79.200000 -82.295267
82.000000 -80.203004
84.800000 -78.284284
87.600000 -76.305046
90.400000 -74.328291
93.200000 -72.392578
96.000000 -70.647658
98.800000 -68.736292
101.600000 -66.692384
104.400000 -64.982292
107.200000 -63.297113
110.000000 -61.427878
112.800000 -59.715188
115.600000 -58.085556
118.400000 -56.383413
121.200000 -54.548299
124.000000 -52.886969
126.800000 -51.446631
129.600000 -49.725367
132.400000 -48.231350
135.200000 -46.750227
138.000000 -45.227262
140.800000 -43.726132
143.600000 -42.169998
146.400000 -40.752403
149.200000 -39.380691
152.000000 -37.994538
154.800000 -36.572754
157.600000 -35.219629
160.400000 -34.006582
163.200000 -32.823108
166.000000 -31.349527
168.800000 -29.991425
171.600000 -28.933242
174.400000 -27.762783
177.200000 -26.644603
180.000000 -25.343856
182.800000 -24.324814
185.600000 -23.289197
188.400000 -22.261105
191.200000 -21.171008
194.000000 -20.163066
196.800000 -19.070156
199.600000 -18.243653
202.400000 -17.256046
205.200000 -16.365968
208.000000 -15.401471
210.800000 -14.698825
213.600000 -13.930984
216.400000 -13.058385
219.200000 -12.276772
222.000000 -11.549484
224.800000 -10.789023
227.600000 -10.056497
230.400000 -9.310866
233.200000 -8.702136
236.000000 -8.097495
238.800000 -7.533710
241.600000 -6.807910
244.400000 -6.151890
247.200000 -5.807878
250.000000 -5.208307
252.800000 -4.663968
255.600000 -4.210195
258.400000 -3.829692
261.200000 -3.421331
264.000000 -2.960973
266.800000 -2.607407
269.600000 -2.205292
272.400000 -1.870211
275.200000 -1.658838
278.000000 -1.359162
280.800000 -1.086979
283.600000 -0.891922
286.400000 -0.840154
289.200000 -0.666596
292.000000 -0.549773
294.800000 -0.312265
297.600000 -0.177593
300.400000 0.000000
303.200000 -0.066133
306.000000 -0.034005
308.800000 -0.061354
311.600000 -0.035439
314.400000 -0.169303
317.200000 -0.295688
320.000000 -0.376515
322.800000 -0.580121
325.600000 -0.759370
328.400000 -0.696637
331.200000 -1.100406
334.000000 -1.312502
336.800000 -1.543878
339.600000 -1.753343
342.400000 -2.111444
345.200000 -2.385993
348.000000 -2.584920
350.800000 -3.092095
353.600000 -3.490486
356.400000 -3.821209
359.200000 -4.282038
362.000000 -4.885598
364.800000 -5.243377
367.600000 -5.790597
370.400000 -6.354339
373.200000 -7.041984
376.000000 -7.598859
378.800000 -8.205684
381.600000 -8.901146
384.400000 -9.472472
387.200000 -10.165889
390.000000 -10.939142
392.800000 -11.758924
395.600000 -12.428777
398.400000 -13.321591
401.200000 -14.412846
404.000000 -15.013451
406.800000 -16.077966
409.600000 -16.758175
412.400000 -18.006889
415.200000 -18.817560
418.000000 -20.207623
420.800000 -21.276289
423.600000 -21.652901
426.400000 -22.264941
429.200000 -23.524721
432.000000 -inf
434.800000 -inf
437.600000 -inf
440.400000 -inf
443.200000 -inf
446.000000 -inf
448.800000 -inf
451.600000 -inf
454.400000 -inf
457.200000 -inf
