# OrderP Phi
300.000000 -inf
301.500000 -inf
303.000000 -inf
304.500000 -inf
306.000000 -inf
307.500000 -inf
309.000000 -inf
310.500000 -inf
312.000000 -inf
313.500000 -inf
315.000000 -inf
316.500000 -inf
318.000000 -inf
319.500000 -inf
321.000000 -inf
322.500000 -inf
324.000000 -inf
325.500000 -inf
327.000000 -inf
328.500000 -inf
330.000000 -inf
331.500000 -inf
333.000000 -inf
334.500000 -inf
336.000000 -inf
337.500000 -inf
339.000000 -inf
340.500000 -inf
342.000000 -inf
343.500000 -inf
345.000000 -inf
346.500000 -inf
348.000000 -108.216386
349.500000 -105.737087
351.000000 -103.694814
352.500000 -102.788408
354.000000 -99.604977
355.500000 -97.805103
357.000000 -95.394266
358.500000 -93.844120
360.000000 -91.918720
361.500000 -89.531781
363.000000 -87.961935
364.500000 -86.028861
366.000000 -83.698309
367.500000 -81.897421
369.000000 -79.960537
370.500000 -78.049127
372.000000 -76.402886
373.500000 -74.392363
375.000000 -72.865636
376.500000 -71.150570
378.000000 -69.294067
379.500000 -67.365720
381.000000 -65.662647
382.500000 -64.086165
384.000000 -62.388755
385.500000 -60.721707
387.000000 -59.134125
388.500000 -57.524918
390.000000 -55.975962
391.500000 -54.635941
393.000000 -53.167616
394.500000 -51.624076
396.000000 -50.181839
397.500000 -48.677554
399.000000 -47.840277
400.500000 -46.259715
402.000000 -44.920673
403.500000 -43.555394
405.000000 -41.969378
406.500000 -40.946672
408.000000 -39.239074
409.500000 -37.889489
411.000000 -37.176359
412.500000 -35.579181
414.000000 -34.150776
415.500000 -32.652007
417.000000 -31.391241
418.500000 -30.347464
420.000000 -29.231101
421.500000 -27.692824
423.000000 -26.605132
424.500000 -25.539045
426.000000 -24.333172
427.500000 -23.162807
429.000000 -22.143866
430.500000 -21.059970
432.000000 -20.310029
433.500000 -19.416529
435.000000 -18.525005
436.500000 -17.614890
438.000000 -16.734747
439.500000 -16.087618
441.000000 -15.171763
442.500000 -14.449802
444.000000 -13.904464
445.500000 -13.180709
447.000000 -12.164922
448.500000 -11.703291
450.000000 -10.903775
451.500000 -10.418757
453.000000 -10.076222
454.500000 -9.167100
456.000000 -8.701668
457.500000 -8.192232
459.000000 -7.871320
460.500000 -7.214283
462.000000 -6.854416
463.500000 -6.264913
465.000000 -5.818301
466.500000 -5.590863
468.000000 -5.349858
469.500000 -4.336757
471.000000 -4.116072
472.500000 -3.547392
474.000000 -3.303188
475.500000 -2.706324
477.000000 -2.283179
478.500000 -2.076568
480.000000 -1.685570
481.500000 -1.566838
483.000000 -1.134175
484.500000 -0.941700
486.000000 -0.502003
487.500000 -0.478339
489.000000 -0.412115
490.500000 -0.492731
492.000000 -0.125927
493.500000 -0.042193
495.000000 -0.237156
496.500000 -0.021284
498.000000 0.000000
499.500000 -0.025930
501.000000 -0.087045
502.500000 -0.057861
504.000000 -0.201804
505.500000 -0.392046
507.000000 -0.772449
508.500000 -0.785654
510.000000 -0.830711
511.500000 -1.211165
513.000000 -1.377087
514.500000 -1.822439
516.000000 -1.961628
517.500000 -2.627665
519.000000 -2.505828
520.500000 -3.288563
522.000000 -3.388462
523.500000 -3.862197
525.000000 -4.603888
526.500000 -5.206464
528.000000 -5.773326
529.500000 -6.127286
531.000000 -6.628992
532.500000 -7.342030
534.000000 -8.180952
535.500000 -8.628625
537.000000 -9.312433
538.500000 -inf
540.000000 -inf
541.500000 -10.667869
543.000000 -inf
544.500000 -inf
546.000000 -inf
547.500000 -inf
549.000000 -inf
550.500000 -inf
552.000000 -inf
553.500000 -inf
555.000000 -inf
556.500000 -inf
558.000000 -inf
559.500000 -inf
561.000000 -inf
562.500000 -inf
564.000000 -inf
565.500000 -inf
567.000000 -inf
568.500000 -inf
570.000000 -inf
571.500000 -inf
573.000000 -inf
574.500000 -inf
576.000000 -inf
577.500000 -inf
579.000000 -inf
580.500000 -inf
582.000000 -inf
583.500000 -inf
585.000000 -inf
586.500000 -inf
588.000000 -inf
589.500000 -inf
591.000000 -inf
592.500000 -inf
594.000000 -inf
595.500000 -inf
597.000000 -inf
598.500000 -inf
