# OrderP Phi
300.000000 -inf
301.500000 -inf
303.000000 -inf
304.500000 -inf
306.000000 -inf
307.500000 -inf
309.000000 -inf
310.500000 -inf
312.000000 -inf
313.500000 -inf
315.000000 -inf
316.500000 -inf
318.000000 -inf
319.500000 -inf
321.000000 -inf
322.500000 -inf
324.000000 -inf
325.500000 -inf
327.000000 -inf
328.500000 -inf
330.000000 -inf
331.500000 -inf
333.000000 -inf
334.500000 -inf
336.000000 -inf
337.500000 -inf
339.000000 -inf
340.500000 -inf
342.000000 -inf
343.500000 -inf
345.000000 -inf
346.500000 -inf
348.000000 -10.455035
349.500000 -9.467171
351.000000 -8.785238
352.500000 -9.207373
354.000000 -7.770496
355.500000 -7.306016
357.000000 -6.373118
358.500000 -6.285645
360.000000 -6.019993
361.500000 -5.130031
363.000000 -4.996739
364.500000 -4.420559
366.000000 -3.741179
367.500000 -3.383888
369.000000 -2.910976
370.500000 -2.624369
372.000000 -2.409438
373.500000 -1.965411
375.000000 -1.857312
376.500000 -1.648623
378.000000 -1.269350
379.500000 -0.934682
381.000000 -0.658495
382.500000 -0.554220
384.000000 -0.412497
385.500000 -0.233817
387.000000 -0.040187
388.500000 -0.079511
390.000000 0.000000
391.500000 -0.100482
393.000000 -0.191630
394.500000 -0.098485
396.000000 -0.164894
397.500000 -0.221251
399.000000 -0.841529
400.500000 -0.553801
402.000000 -0.855332
403.500000 -1.008090
405.000000 -1.001716
406.500000 -1.246989
408.000000 -1.293055
409.500000 -1.413870
411.000000 -1.971158
412.500000 -1.983709
414.000000 -2.095030
415.500000 -2.161860
417.000000 -2.275014
418.500000 -2.786369
420.000000 -3.059964
421.500000 -3.046145
423.000000 -3.498937
424.500000 -3.990488
426.000000 -4.260117
427.500000 -4.562644
429.000000 -5.091388
430.500000 -5.473631
432.000000 -6.207577
433.500000 -6.765728
435.000000 -7.445487
436.500000 -8.044770
438.000000 -8.708155
439.500000 -9.456705
441.000000 -10.056794
442.500000 -10.870210
444.000000 -11.824634
445.500000 -12.502854
447.000000 -13.040799
448.500000 -13.997447
450.000000 -14.839582
451.500000 -15.782822
453.000000 -16.927337
454.500000 -17.540653
456.000000 -18.516108
457.500000 -19.550223
459.000000 -20.633691
460.500000 -21.539720
462.000000 -22.693744
463.500000 -23.624824
465.000000 -24.667344
466.500000 -25.950845
468.000000 -27.156110
469.500000 -27.717851
471.000000 -28.963405
472.500000 -29.955439
474.000000 -31.108404
475.500000 -31.983347
477.000000 -33.192607
478.500000 -34.437677
480.000000 -35.553177
481.500000 -36.909094
483.000000 -37.951400
484.500000 -39.287252
486.000000 -40.362620
487.500000 -41.805405
489.000000 -43.226181
490.500000 -44.804749
492.000000 -45.913602
493.500000 -47.350791
495.000000 -49.033972
496.500000 -50.342582
498.000000 -51.782057
499.500000 -53.342458
501.000000 -54.887553
502.500000 -56.296559
504.000000 -57.975937
505.500000 -59.644292
507.000000 -61.470305
508.500000 -63.013634
510.000000 -64.574768
511.500000 -66.437573
513.000000 -68.144278
514.500000 -70.105833
516.000000 -71.832799
517.500000 -73.873118
519.000000 -75.289574
520.500000 -77.520063
522.000000 -79.086201
523.500000 -81.004306
525.000000 -83.332393
526.500000 -85.433473
528.000000 -87.523624
529.500000 -89.402523
531.000000 -91.365196
532.500000 -93.308747
534.000000 -95.921963
535.500000 -97.600342
537.000000 -100.163847
538.500000 -inf
540.000000 -inf
541.500000 -106.384648
543.000000 -inf
544.500000 -inf
546.000000 -inf
547.500000 -inf
549.000000 -inf
550.500000 -inf
552.000000 -inf
553.500000 -inf
555.000000 -inf
556.500000 -inf
558.000000 -inf
559.500000 -inf
561.000000 -inf
562.500000 -inf
564.000000 -inf
565.500000 -inf
567.000000 -inf
568.500000 -inf
570.000000 -inf
571.500000 -inf
573.000000 -inf
574.500000 -inf
576.000000 -inf
577.500000 -inf
579.000000 -inf
580.500000 -inf
582.000000 -inf
583.500000 -inf
585.000000 -inf
586.500000 -inf
588.000000 -inf
589.500000 -inf
591.000000 -inf
592.500000 -inf
594.000000 -inf
595.500000 -inf
597.000000 -inf
598.500000 -inf
