# OrderP Phi
300.000000 -inf
301.400000 -inf
302.800000 -inf
304.200000 -inf
305.600000 -inf
307.000000 -inf
308.400000 -inf
309.800000 -inf
311.200000 -inf
312.600000 -inf
314.000000 -inf
315.400000 -inf
316.800000 -inf
318.200000 -inf
319.600000 -inf
321.000000 -inf
322.400000 -inf
323.800000 -139.200214
325.200000 -135.987256
326.600000 -135.404762
328.000000 -132.782815
329.400000 -130.371687
330.800000 -128.739730
332.200000 -126.405997
333.600000 -124.671939
335.000000 -122.506012
336.400000 -120.679606
337.800000 -118.810964
339.200000 -117.100793
340.600000 -115.048503
342.000000 -113.217252
343.400000 -111.551521
344.800000 -109.627529
346.200000 -107.935329
347.600000 -106.133988
349.000000 -104.320124
350.400000 -102.727334
351.800000 -100.999683
353.200000 -99.482590
354.600000 -97.775054
356.000000 -96.096293
357.400000 -94.754751
358.800000 -92.948404
360.200000 -91.501020
361.600000 -89.976422
363.000000 -88.392670
364.400000 -86.855052
365.800000 -85.299606
367.200000 -83.800141
368.600000 -82.276686
370.000000 -80.646149
371.400000 -79.121171
372.800000 -77.586122
374.200000 -76.091033
375.600000 -74.516246
377.000000 -73.123365
378.400000 -71.518353
379.800000 -70.169424
381.200000 -68.733740
382.600000 -67.507282
384.000000 -66.175510
385.400000 -64.816452
386.800000 -63.431878
388.200000 -62.119665
389.600000 -60.937287
391.000000 -59.536645
392.400000 -58.446788
393.800000 -56.924004
395.200000 -55.850459
396.600000 -54.548497
398.000000 -53.401180
399.400000 -52.065086
400.800000 -50.661511
402.200000 -49.621918
403.600000 -48.197102
405.000000 -46.999567
406.400000 -45.847185
407.800000 -44.622454
409.200000 -43.544144
410.600000 -42.442433
412.000000 -41.341776
413.400000 -40.187987
414.800000 -39.304940
416.200000 -38.219314
417.600000 -37.296594
419.000000 -36.325139
420.400000 -35.292604
421.800000 -34.229808
423.200000 -33.338826
424.600000 -32.362455
426.000000 -31.460722
427.400000 -30.207250
428.800000 -29.641790
430.200000 -28.512387
431.600000 -27.590994
433.000000 -26.547334
434.400000 -25.527121
435.800000 -24.779244
437.200000 -23.890237
438.600000 -23.045843
440.000000 -22.227875
441.400000 -21.444829
442.800000 -20.625049
444.200000 -19.873139
445.600000 -19.132076
447.000000 -18.345980
448.400000 -17.580086
449.800000 -16.868232
451.200000 -16.141869
452.600000 -15.514670
454.000000 -14.780235
455.400000 -14.178192
456.800000 -13.520524
458.200000 -12.791187
459.600000 -12.239959
461.000000 -11.634593
462.400000 -11.111160
463.800000 -10.574549
465.200000 -9.955926
466.600000 -9.466866
468.000000 -8.949995
469.400000 -8.373818
470.800000 -8.029203
472.200000 -7.382621
473.600000 -7.077003
475.000000 -6.777925
476.400000 -6.269966
477.800000 -5.754202
479.200000 -5.469275
480.600000 -5.102157
482.000000 -4.536643
483.400000 -4.265080
484.800000 -3.767077
486.200000 -3.532069
487.600000 -3.086155
489.000000 -2.789868
490.400000 -2.584958
491.800000 -2.212684
493.200000 -2.056098
494.600000 -1.960289
496.000000 -1.676397
497.400000 -1.552197
498.800000 -1.349610
500.200000 -1.273388
501.600000 -1.146140
503.000000 -1.114871
504.400000 -0.823726
505.800000 -0.699453
507.200000 -0.537360
508.600000 -0.431988
510.000000 -0.357921
511.400000 -0.200703
512.800000 -0.126259
514.200000 0.000000
515.600000 -0.102672
517.000000 -0.204425
518.400000 -0.139494
519.800000 -0.248963
521.200000 -0.358049
522.600000 -0.492146
524.000000 -0.649428
525.400000 -0.854865
526.800000 -0.964337
528.200000 -1.078922
529.600000 -1.205868
531.000000 -1.330434
532.400000 -1.392052
533.800000 -1.572104
535.200000 -1.735081
536.600000 -1.995389
538.000000 -2.157252
539.400000 -2.402114
540.800000 -2.617966
542.200000 -2.852319
543.600000 -3.229864
545.000000 -3.589736
546.400000 -4.149523
547.800000 -4.427816
549.200000 -4.860823
550.600000 -5.312249
552.000000 -5.608232
553.400000 -6.293300
554.800000 -6.899463
556.200000 -7.401025
557.600000 -7.889437
559.000000 -8.603992
560.400000 -9.665242
561.800000 -9.841004
563.200000 -10.864530
564.600000 -11.176395
566.000000 -12.249968
567.400000 -inf
568.800000 -inf
570.200000 -inf
571.600000 -inf
573.000000 -inf
574.400000 -inf
575.800000 -inf
577.200000 -inf
578.600000 -inf
