# OrderP Phi
300.000000 -inf
301.400000 -inf
302.800000 -inf
304.200000 -inf
305.600000 -inf
307.000000 -inf
308.400000 -inf
309.800000 -inf
311.200000 -inf
312.600000 -inf
314.000000 -inf
315.400000 -inf
316.800000 -inf
318.200000 -inf
319.600000 -inf
321.000000 -inf
322.400000 -inf
323.800000 -13.885341
325.200000 -11.325633
326.600000 -12.086360
328.000000 -11.190053
329.400000 -10.180632
330.800000 -9.929984
332.200000 -8.789336
333.600000 -8.573904
335.000000 -7.706245
336.400000 -7.287297
337.800000 -6.768960
339.200000 -6.503314
340.600000 -5.866605
342.000000 -5.364499
343.400000 -5.086772
344.800000 -4.582776
346.200000 -4.265905
347.600000 -3.889629
349.000000 -3.379247
350.400000 -3.298934
351.800000 -2.881320
353.200000 -2.786678
354.600000 -2.542127
356.000000 -2.176801
357.400000 -2.325692
358.800000 -1.824158
360.200000 -1.832104
361.600000 -1.694658
363.000000 -1.456519
364.400000 -1.423302
365.800000 -1.175288
367.200000 -1.048354
368.600000 -0.989635
370.000000 -0.714312
371.400000 -0.706240
372.800000 -0.457405
374.200000 -0.431287
375.600000 -0.268841
377.000000 -0.185373
378.400000 0.000000
379.800000 -0.048268
381.200000 -0.029536
382.600000 -0.189964
384.000000 -0.222183
385.400000 -0.303009
386.800000 -0.294939
388.200000 -0.382584
389.600000 -0.549829
391.000000 -0.643199
392.400000 -0.972293
393.800000 -0.771129
395.200000 -1.134413
396.600000 -1.245449
398.000000 -1.422399
399.400000 -1.558769
400.800000 -1.579561
402.200000 -1.903233
403.600000 -1.832666
405.000000 -2.138519
406.400000 -2.273671
407.800000 -2.476167
409.200000 -2.761263
410.600000 -3.136370
412.000000 -3.411820
413.400000 -3.668555
414.800000 -4.167457
416.200000 -4.442064
417.600000 -4.951648
419.000000 -5.359981
420.400000 -5.794428
421.800000 -6.112869
423.200000 -6.683714
424.600000 -7.092084
426.000000 -7.470433
427.400000 -7.671130
428.800000 -8.406904
430.200000 -8.803033
431.600000 -9.248217
433.000000 -9.611201
434.400000 -9.969350
435.800000 -10.665592
437.200000 -11.112271
438.600000 -11.659715
440.000000 -12.277989
441.400000 -12.957293
442.800000 -13.457544
444.200000 -14.117851
445.600000 -14.778184
447.000000 -15.318974
448.400000 -16.038424
449.800000 -16.755209
451.200000 -17.388791
452.600000 -18.139204
454.000000 -18.789837
455.400000 -19.530257
456.800000 -20.393936
458.200000 -21.026990
459.600000 -21.854146
461.000000 -22.640275
462.400000 -23.500533
463.800000 -24.322529
465.200000 -25.143515
466.600000 -26.078575
468.000000 -26.931041
469.400000 -27.702406
470.800000 -28.780152
472.200000 -29.613161
473.600000 -30.666431
475.000000 -31.767652
476.400000 -32.640229
477.800000 -33.606666
479.200000 -34.681283
480.600000 -35.704679
482.000000 -36.553913
483.400000 -37.608584
484.800000 -38.560268
486.200000 -39.691391
487.600000 -40.593032
489.000000 -41.765653
490.400000 -42.956876
491.800000 -43.943634
493.200000 -45.231796
494.600000 -46.503987
496.000000 -47.587514
497.400000 -48.855113
498.800000 -50.103296
500.200000 -51.312236
501.600000 -52.678948
503.000000 -54.110643
504.400000 -55.161127
505.800000 -56.457963
507.200000 -57.659339
508.600000 -58.985270
510.000000 -60.204364
511.400000 -61.459687
512.800000 -62.800468
514.200000 -64.079486
515.600000 -65.628637
517.000000 -67.036791
518.400000 -68.421231
519.800000 -69.908964
521.200000 -71.437934
522.600000 -72.907176
524.000000 -74.509495
525.400000 -76.159130
526.800000 -77.645801
528.200000 -79.166979
529.600000 -80.728503
531.000000 -82.221213
532.400000 -83.691188
533.800000 -85.220356
535.200000 -86.843080
536.600000 -88.433193
538.000000 -90.072946
539.400000 -91.639959
540.800000 -93.289447
542.200000 -94.892239
543.600000 -96.717872
545.000000 -98.420614
546.400000 -100.427108
547.800000 -102.008558
549.200000 -103.878651
550.600000 -105.671415
552.000000 -107.369962
553.400000 -109.556360
554.800000 -111.533462
556.200000 -113.311763
557.600000 -115.237824
559.000000 -117.345483
560.400000 -120.023814
561.800000 -121.361795
563.200000 -123.513985
564.600000 -125.565150
566.000000 -127.684574
567.400000 -inf
568.800000 -inf
570.200000 -inf
571.600000 -inf
573.000000 -inf
574.400000 -inf
575.800000 -inf
577.200000 -inf
578.600000 -inf
