# OrderP Phi
-150.000000 -inf
-147.250000 -inf
-144.500000 -inf
-141.750000 -inf
-139.000000 -inf
-136.250000 -inf
-133.500000 -inf
-130.750000 -inf
-128.000000 -inf
-125.250000 -inf
-122.500000 -inf
-119.750000 -inf
-117.000000 -inf
-114.250000 -inf
-111.500000 -inf
-108.750000 -inf
-106.000000 -inf
-103.250000 -inf
-100.500000 -247.596659
-97.750000 -244.107960
-95.000000 -240.571801
-92.250000 -236.645479
-89.500000 -234.638173
-86.750000 -229.445690
-84.000000 -227.173680
-81.250000 -223.013520
-78.500000 -218.439831
-75.750000 -215.814556
-73.000000 -211.810765
-70.250000 -208.435044
-67.500000 -204.774040
-64.750000 -201.447598
-62.000000 -197.911790
-59.250000 -194.683450
-56.500000 -191.169299
-53.750000 -187.412133
-51.000000 -184.180307
-48.250000 -180.815774
-45.500000 -177.401104
-42.750000 -173.950484
-40.000000 -170.811922
-37.250000 -167.431268
-34.500000 -164.231480
-31.750000 -160.990515
-29.000000 -157.683682
-26.250000 -154.549340
-23.500000 -151.458724
-20.750000 -148.193159
-18.000000 -144.890117
-15.250000 -142.099764
-12.500000 -138.647718
-9.750000 -135.628079
-7.000000 -132.721028
-4.250000 -129.645053
-1.500000 -126.924157
1.250000 -123.738487
4.000000 -120.835659
6.750000 -117.896649
9.500000 -115.210628
12.250000 -112.202806
15.000000 -109.394524
17.750000 -106.741620
20.500000 -104.085179
23.250000 -101.278508
26.000000 -98.544268
28.750000 -95.917319
31.500000 -93.550539
34.250000 -90.912114
37.000000 -88.328174
39.750000 -85.896361
42.500000 -83.368088
45.250000 -81.019650
48.000000 -78.801024
50.750000 -76.385452
53.500000 -74.131226
56.250000 -71.807116
59.000000 -69.581681
61.750000 -67.395716
64.500000 -65.456381
67.250000 -63.283965
70.000000 -61.120030
72.750000 -59.183456
75.500000 -57.127557
78.250000 -55.277518
81.000000 -53.215818
83.750000 -51.547894
86.500000 -49.639710
89.250000 -47.949020
92.000000 -46.101727
94.750000 -44.414246
97.500000 -42.724785
100.250000 -40.972270
103.000000 -39.417347
105.750000 -37.812215
108.500000 -36.250122
111.250000 -34.777945
114.000000 -33.459019
116.750000 -31.812847
119.500000 -30.389179
122.250000 -29.048118
125.000000 -27.793085
127.750000 -26.529287
130.500000 -25.201385
133.250000 -23.964339
136.000000 -22.844381
138.750000 -21.427660
141.500000 -20.518856
144.250000 -19.374760
147.000000 -18.358357
149.750000 -17.367835
152.500000 -16.441756
155.250000 -15.296000
158.000000 -14.236817
160.750000 -13.450401
163.500000 -12.680568
166.250000 -11.807125
169.000000 -10.988337
171.750000 -10.306198
174.500000 -9.499902
177.250000 -8.697273
180.000000 -8.038166
182.750000 -7.432299
185.500000 -6.712114
188.250000 -6.074650
191.000000 -5.597786
193.750000 -4.970507
196.500000 -4.511501
199.250000 -3.966057
202.000000 -3.586313
204.750000 -3.136727
207.500000 -2.652144
210.250000 -2.264644
213.000000 -2.080313
215.750000 -1.755106
218.500000 -1.327664
221.250000 -1.145945
224.000000 -0.918935
226.750000 -0.617547
229.500000 -0.485873
232.250000 -0.376947
235.000000 -0.256190
237.750000 -0.161282
240.500000 -0.017825
243.250000 -0.042699
246.000000 0.000000
248.750000 -0.117122
251.500000 -0.144570
254.250000 -0.326670
257.000000 -0.287778
259.750000 -0.445123
262.500000 -0.678631
265.250000 -0.947056
268.000000 -1.173964
270.750000 -1.394308
273.500000 -1.468519
276.250000 -1.918087
279.000000 -2.219200
281.750000 -2.625937
284.500000 -3.057531
287.250000 -3.481285
290.000000 -3.917726
292.750000 -4.468032
295.500000 -4.943652
298.250000 -5.525465
301.000000 -6.214245
303.750000 -6.721159
306.500000 -7.222145
309.250000 -8.091190
312.000000 -8.674021
314.750000 -9.313464
317.500000 -10.133224
320.250000 -10.872432
323.000000 -11.770590
325.750000 -12.577432
328.500000 -13.400052
331.250000 -14.310215
334.000000 -15.445232
336.750000 -16.297294
339.500000 -17.267830
342.250000 -19.686059
345.000000 -19.302530
347.750000 -inf
350.500000 -inf
353.250000 -inf
356.000000 -inf
358.750000 -23.208453
361.500000 -inf
364.250000 -inf
367.000000 -inf
369.750000 -inf
372.500000 -inf
375.250000 -inf
378.000000 -inf
380.750000 -inf
383.500000 -inf
386.250000 -inf
389.000000 -inf
391.750000 -inf
394.500000 -inf
397.250000 -inf
