# OrderP Phi
-180.000000 -inf
-177.000000 -inf
-174.000000 -inf
-171.000000 -inf
-168.000000 -inf
-165.000000 -inf
-162.000000 -inf
-159.000000 -inf
-156.000000 -inf
-153.000000 -inf
-150.000000 -inf
-147.000000 -inf
-144.000000 -inf
-141.000000 -inf
-138.000000 -inf
-135.000000 -inf
-132.000000 -inf
-129.000000 -inf
-126.000000 -inf
-123.000000 -inf
-120.000000 -inf
-117.000000 -25.382746
-114.000000 -23.866136
-111.000000 -inf
-108.000000 -inf
-105.000000 -21.675461
-102.000000 -20.056167
-99.000000 -19.380418
-96.000000 -18.326664
-93.000000 -17.162286
-90.000000 -16.278175
-87.000000 -15.791217
-84.000000 -14.707171
-81.000000 -13.564665
-78.000000 -13.065662
-75.000000 -12.337065
-72.000000 -11.534029
-69.000000 -10.646694
-66.000000 -9.973607
-63.000000 -9.198682
-60.000000 -8.590343
-57.000000 -7.960548
-54.000000 -7.210891
-51.000000 -6.616059
-48.000000 -6.025862
-45.000000 -5.533882
-42.000000 -4.844572
-39.000000 -4.326345
-36.000000 -4.041485
-33.000000 -3.400290
-30.000000 -3.084095
-27.000000 -2.539366
-24.000000 -2.202369
-21.000000 -1.888941
-18.000000 -1.652128
-15.000000 -1.109217
-12.000000 -1.072742
-9.000000 -0.658690
-6.000000 -0.549324
-3.000000 -0.244674
0.000000 -0.262298
3.000000 -0.145875
6.000000 0.000000
9.000000 -0.133080
12.000000 -0.085888
15.000000 -0.156506
18.000000 -0.326593
21.000000 -0.437335
24.000000 -0.522796
27.000000 -0.730381
30.000000 -1.083403
33.000000 -1.461908
36.000000 -1.669693
39.000000 -2.065544
42.000000 -2.493002
45.000000 -3.051641
48.000000 -3.461699
51.000000 -4.076672
54.000000 -4.608315
57.000000 -5.214420
60.000000 -5.918061
63.000000 -6.742944
66.000000 -7.461369
69.000000 -8.242523
72.000000 -9.113035
75.000000 -9.993437
78.000000 -10.933811
81.000000 -11.884529
84.000000 -12.905237
87.000000 -13.977618
90.000000 -14.989910
93.000000 -16.092319
96.000000 -17.261296
99.000000 -18.579711
102.000000 -19.767117
105.000000 -21.101808
108.000000 -22.339690
111.000000 -23.840008
114.000000 -25.265773
117.000000 -26.677520
120.000000 -28.081537
123.000000 -29.579780
126.000000 -31.216787
129.000000 -32.706594
132.000000 -34.375244
135.000000 -36.051612
138.000000 -37.786585
141.000000 -39.582995
144.000000 -41.357291
147.000000 -43.069593
150.000000 -44.954569
153.000000 -46.961810
156.000000 -48.741215
159.000000 -50.597730
162.000000 -52.645199
165.000000 -54.653525
168.000000 -56.843675
171.000000 -58.864524
174.000000 -60.946821
177.000000 -63.014934
180.000000 -65.193370
183.000000 -67.685853
186.000000 -69.878031
189.000000 -72.018980
192.000000 -74.399543
195.000000 -76.763686
198.000000 -79.198518
201.000000 -81.664808
204.000000 -84.036644
207.000000 -86.691163
210.000000 -89.023749
213.000000 -91.596454
216.000000 -94.193646
219.000000 -96.876785
222.000000 -99.475984
225.000000 -102.008872
228.000000 -104.915722
231.000000 -107.799940
234.000000 -110.376544
237.000000 -113.332970
240.000000 -116.115065
243.000000 -119.089203
246.000000 -121.946587
249.000000 -124.801239
252.000000 -127.864678
255.000000 -130.884275
258.000000 -133.805434
261.000000 -137.011207
264.000000 -140.346538
267.000000 -143.213189
270.000000 -146.369230
273.000000 -149.444558
276.000000 -152.936406
279.000000 -156.088066
282.000000 -159.370640
285.000000 -162.772310
288.000000 -166.232419
291.000000 -169.584030
294.000000 -172.919033
297.000000 -176.437420
300.000000 -179.828190
303.000000 -183.502622
306.000000 -186.981108
309.000000 -190.607680
312.000000 -194.299016
315.000000 -197.883106
318.000000 -201.543403
321.000000 -205.154591
324.000000 -209.123545
327.000000 -212.851771
330.000000 -216.681374
333.000000 -220.940978
336.000000 -224.648820
339.000000 -228.116400
342.000000 -232.411966
345.000000 -236.194148
348.000000 -240.067813
351.000000 -243.950909
354.000000 -250.268151
357.000000 -inf
360.000000 -257.041323
363.000000 -inf
366.000000 -inf
369.000000 -inf
372.000000 -inf
375.000000 -inf
378.000000 -inf
381.000000 -inf
384.000000 -inf
387.000000 -inf
390.000000 -inf
393.000000 -inf
396.000000 -inf
399.000000 -inf
402.000000 -inf
405.000000 -inf
408.000000 -inf
411.000000 -inf
414.000000 -inf
417.000000 -inf
