# OrderP Phi
-180.000000 -inf
-177.000000 -inf
-174.000000 -inf
-171.000000 -inf
-168.000000 -inf
-165.000000 -inf
-162.000000 -inf
-159.000000 -inf
-156.000000 -inf
-153.000000 -inf
-150.000000 -inf
-147.000000 -inf
-144.000000 -inf
-141.000000 -inf
-138.000000 -287.185610
-135.000000 -inf
-132.000000 -inf
-129.000000 -274.422883
-126.000000 -269.992736
-123.000000 -265.726788
-120.000000 -262.437307
-117.000000 -258.071201
-114.000000 -254.141596
-111.000000 -250.477583
-108.000000 -246.816267
-105.000000 -242.936546
-102.000000 -239.008265
-99.000000 -235.086698
-96.000000 -231.468760
-93.000000 -227.531949
-90.000000 -223.851682
-87.000000 -220.183209
-84.000000 -216.520904
-81.000000 -212.783338
-78.000000 -209.221071
-75.000000 -205.335549
-72.000000 -201.799912
-69.000000 -198.393037
-66.000000 -194.651758
-63.000000 -191.114364
-60.000000 -187.655572
-57.000000 -184.140014
-54.000000 -180.623227
-51.000000 -177.101326
-48.000000 -173.740803
-45.000000 -170.415539
-42.000000 -166.916704
-39.000000 -163.626660
-36.000000 -160.139474
-33.000000 -156.972850
-30.000000 -153.636297
-27.000000 -150.292320
-24.000000 -147.063777
-21.000000 -143.979207
-18.000000 -140.791922
-15.000000 -137.878952
-12.000000 -134.764724
-9.000000 -131.646004
-6.000000 -128.820262
-3.000000 -125.803596
0.000000 -122.770621
3.000000 -119.927595
6.000000 -116.881136
9.000000 -114.207886
12.000000 -111.342230
15.000000 -108.454653
18.000000 -105.661773
21.000000 -103.140017
24.000000 -100.403017
27.000000 -97.821850
30.000000 -95.466416
33.000000 -92.716884
36.000000 -90.287270
39.000000 -87.903749
42.000000 -85.479067
45.000000 -82.942622
48.000000 -80.647261
51.000000 -78.366142
54.000000 -76.008346
57.000000 -73.703013
60.000000 -71.635016
63.000000 -69.393401
66.000000 -67.266646
69.000000 -65.328031
72.000000 -63.051586
75.000000 -60.978562
78.000000 -59.032806
81.000000 -57.128192
84.000000 -55.141005
87.000000 -53.211192
90.000000 -51.519798
93.000000 -49.624442
96.000000 -47.848671
99.000000 -46.237905
102.000000 -44.338993
105.000000 -42.815114
108.000000 -41.062849
111.000000 -39.451942
114.000000 -37.901891
117.000000 -36.354557
120.000000 -34.830380
123.000000 -33.377933
126.000000 -32.009404
129.000000 -30.595292
132.000000 -29.164260
135.000000 -27.875438
138.000000 -26.491019
141.000000 -25.253504
144.000000 -23.998779
147.000000 -22.799084
150.000000 -21.735281
153.000000 -20.563860
156.000000 -19.382614
159.000000 -18.204502
162.000000 -17.291040
165.000000 -16.310277
168.000000 -15.284853
171.000000 -14.412571
174.000000 -13.491326
177.000000 -12.595954
180.000000 -11.696841
183.000000 -10.859678
186.000000 -10.250992
189.000000 -9.313995
192.000000 -8.515786
195.000000 -7.771121
198.000000 -7.105553
201.000000 -6.522544
204.000000 -6.022288
207.000000 -5.314344
210.000000 -4.767221
213.000000 -4.312943
216.000000 -3.810247
219.000000 -3.355750
222.000000 -2.830618
225.000000 -2.372329
228.000000 -2.024160
231.000000 -1.748153
234.000000 -1.454495
237.000000 -0.991834
240.000000 -1.127768
243.000000 -0.611838
246.000000 -0.573088
249.000000 -0.417842
252.000000 -0.148673
255.000000 -0.057632
258.000000 -0.148189
261.000000 0.000000
264.000000 -0.106782
267.000000 -0.021728
270.000000 -0.050699
273.000000 -0.135660
276.000000 -0.232097
279.000000 -0.364907
282.000000 -0.605399
285.000000 -0.709572
288.000000 -0.986905
291.000000 -1.174225
294.000000 -1.483297
297.000000 -1.617888
300.000000 -2.182477
303.000000 -2.444227
306.000000 -2.831010
309.000000 -3.207349
312.000000 -3.591595
315.000000 -4.085364
318.000000 -4.591079
321.000000 -5.222186
324.000000 -5.914408
327.000000 -6.414201
330.000000 -7.021727
333.000000 -7.623011
336.000000 -8.401645
339.000000 -9.201690
342.000000 -9.868596
345.000000 -10.762601
348.000000 -11.388147
351.000000 -12.362317
354.000000 -12.933263
357.000000 -14.104432
360.000000 -15.188994
363.000000 -16.434896
366.000000 -16.530483
369.000000 -17.612783
372.000000 -18.770414
375.000000 -21.612208
378.000000 -inf
381.000000 -22.939730
384.000000 -22.302258
387.000000 -inf
390.000000 -inf
393.000000 -inf
396.000000 -inf
399.000000 -inf
402.000000 -inf
405.000000 -inf
408.000000 -inf
411.000000 -inf
414.000000 -inf
417.000000 -inf
