# OrderP Phi
-180.000000 -inf
-177.000000 -inf
-174.000000 -inf
-171.000000 -inf
-168.000000 -inf
-165.000000 -inf
-162.000000 -inf
-159.000000 -inf
-156.000000 -inf
-153.000000 -inf
-150.000000 -inf
-147.000000 -inf
-144.000000 -inf
-141.000000 -inf
-138.000000 -26.035576
-135.000000 -inf
-132.000000 -inf
-129.000000 -23.908455
-126.000000 -21.536200
-123.000000 -20.530132
-120.000000 -19.767642
-117.000000 -18.624232
-114.000000 -17.771708
-111.000000 -17.093381
-108.000000 -16.613762
-105.000000 -15.366522
-102.000000 -14.622360
-99.000000 -13.601610
-96.000000 -12.841461
-93.000000 -12.095959
-90.000000 -11.351008
-87.000000 -10.715179
-84.000000 -10.038276
-81.000000 -9.259318
-78.000000 -8.680136
-75.000000 -7.870269
-72.000000 -7.305002
-69.000000 -6.842088
-66.000000 -6.093835
-63.000000 -5.536981
-60.000000 -5.051792
-57.000000 -4.486925
-54.000000 -4.068422
-51.000000 -3.614806
-48.000000 -3.208148
-45.000000 -2.861246
-42.000000 -2.323708
-39.000000 -2.090946
-36.000000 -1.588197
-33.000000 -1.394463
-30.000000 -1.006983
-27.000000 -0.712351
-24.000000 -0.511714
-21.000000 -0.301393
-18.000000 -0.250417
-15.000000 -0.240111
-12.000000 -0.157463
-9.000000 0.000000
-6.000000 -0.059948
-3.000000 -0.104562
0.000000 -0.085250
3.000000 -0.263252
6.000000 -0.271678
9.000000 -0.430497
12.000000 -0.634489
15.000000 -0.835083
18.000000 -0.971230
21.000000 -1.459964
24.000000 -1.675732
27.000000 -2.085942
30.000000 -2.666163
33.000000 -3.023714
36.000000 -3.544071
39.000000 -4.080667
42.000000 -4.645789
45.000000 -5.130850
48.000000 -5.848587
51.000000 -6.483245
54.000000 -7.264218
57.000000 -7.880703
60.000000 -8.772010
63.000000 -9.558966
66.000000 -10.434062
69.000000 -11.399919
72.000000 -12.194570
75.000000 -13.183665
78.000000 -14.186833
81.000000 -15.171320
84.000000 -16.268239
87.000000 -17.337278
90.000000 -18.518720
93.000000 -19.629365
96.000000 -20.917768
99.000000 -22.248069
102.000000 -23.435022
105.000000 -24.811106
108.000000 -26.100220
111.000000 -27.523113
114.000000 -28.946343
117.000000 -30.340994
120.000000 -31.832295
123.000000 -33.376357
126.000000 -34.978685
129.000000 -36.623740
132.000000 -38.098875
135.000000 -39.808793
138.000000 -41.417311
141.000000 -43.280050
144.000000 -44.943336
147.000000 -46.668420
150.000000 -48.590601
153.000000 -50.471765
156.000000 -52.210912
159.000000 -54.167281
162.000000 -56.151266
165.000000 -58.180101
168.000000 -60.147010
171.000000 -62.349271
174.000000 -64.471566
177.000000 -66.361401
180.000000 -68.543351
183.000000 -70.664204
186.000000 -72.989202
189.000000 -75.122388
192.000000 -77.339513
195.000000 -79.613170
198.000000 -81.865523
201.000000 -84.371407
204.000000 -86.753235
207.000000 -89.139120
210.000000 -91.468945
213.000000 -94.159982
216.000000 -96.586233
219.000000 -99.092459
222.000000 -101.623256
225.000000 -104.134218
228.000000 -106.694623
231.000000 -109.433732
234.000000 -112.087790
237.000000 -114.797505
240.000000 -117.910576
243.000000 -120.366532
246.000000 -123.221062
249.000000 -126.098747
252.000000 -128.867493
255.000000 -131.802761
258.000000 -134.743593
261.000000 -137.653739
264.000000 -140.719560
267.000000 -143.684851
270.000000 -146.734230
273.000000 -149.762059
276.000000 -152.839590
279.000000 -155.956758
282.000000 -159.209668
285.000000 -162.238599
288.000000 -165.585064
291.000000 -168.744740
294.000000 -172.156599
297.000000 -175.246263
300.000000 -178.802869
303.000000 -181.932060
306.000000 -185.278693
309.000000 -188.752364
312.000000 -192.163322
315.000000 -195.584260
318.000000 -199.174425
321.000000 -202.807964
324.000000 -206.533340
327.000000 -209.954965
330.000000 -213.592042
333.000000 -217.182394
336.000000 -220.947658
339.000000 -224.649814
342.000000 -228.408071
345.000000 -232.233579
348.000000 -235.796536
351.000000 -239.846435
354.000000 -243.450873
357.000000 -247.522674
360.000000 -251.515640
363.000000 -256.253292
366.000000 -259.064165
369.000000 -263.087792
372.000000 -267.329104
375.000000 -273.592418
378.000000 -inf
381.000000 -281.557550
384.000000 -283.135758
387.000000 -inf
390.000000 -inf
393.000000 -inf
396.000000 -inf
399.000000 -inf
402.000000 -inf
405.000000 -inf
408.000000 -inf
411.000000 -inf
414.000000 -inf
417.000000 -inf
